MQ-2 Normal Atmosphere,MQ-2 Contaminated Atmosphere,MQ-5Normal Atmosphere,MQ-5 Contaminated Atmosphere (Natural gas),MQ-6 Normal Atmosphere ,MQ-6 Contaminated LPG gas detected ,MQ-8 Normal Atmosphere,MQ-8 Contaminated Atmosphere,MQ-9 Normal Atmosphere,MQ-9 Contaminated Flammable gas detected ,MQ-135 Normal Atmosphere,MQ-135 Contaminated Atmosphere,Time (sec)
84,345,122,122,471,650,146,120,97,154,46,1013,0.1
84,345,122,122,471,650,146,120,97,153,146,1014,0.2
84,346,122,122,470,650,146,120,97,190,146,1013,0.3
83,345,122,122,470,650,146,120,97,157,146,1013,0.4
83,345,122,1,470,650,146,120,97,159,146,1013,0.5
83,345,122,121,470,650,146,120,97,158,146,1014,0.6
83,345,122,122,471,650,146,120,97,188,146,1013,0.7
83,345,122,122,0,650,146,120,97,187,146,1013,0.8
84,345,123,121,470,650,146,120,97,185,146,1013,0.9
83,345,122,121,471,650,146,120,97,195,146,1013,1
84,345,122,122,470,649,146,120,97,151,146,1013,1.1
83,345,122,121,471,650,146,120,97,155,146,1013,1.2
83,346,122,121,470,650,146,120,97,192,1,1013,1.3
83,345,122,121,471,649,146,120,97,158,146,1014,1.4
84,345,122,122,471,650,147,120,97,558,146,1013,1.5
83,345,122,122,471,649,146,120,97,558,146,1013,1.6
83,345,122,122,470,650,146,120,97,1016,146,1014,1.7
83,345,123,122,471,650,146,20,97,1016,146,1014,1.8
83,345,122,121,470,650,146,120,97,1015,146,1013,1.9
83,345,123,122,470,650,146,120,97,1003,146,1014,2
83,345,123,122,471,650,146,120,97,1016,146,1013,2.1
83,345,123,122,470,650,146,120,97,1015,146,1013,2.2
83,345,123,121,471,650,146,120,97,1016,146,1013,2.3
84,345,124,122,470,650,146,120,97,1016,146,1013,2.4
83,345,123,122,470,650,146,120,97,1015,146,1013,2.5
84,345,123,122,471,650,146,120,97,1017,146,1014,2.6
83,345,123,122,471,649,146,120,97,1016,146,1013,2.7
83,345,124,122,471,650,146,120,97,1017,146,1013,2.8
