Normal Atmosphere,Polluted Atmosphere,Time (sec)
46,1013,0.1
146,1014,0.2
146,1013,0.3
146,1013,0.4
146,1013,0.5
146,1014,0.6
146,1013,0.7
146,1013,0.8
146,1013,0.9
146,1013,1
146,1013,1.1
146,1013,1.2
1,1013,1.3
146,1014,1.4
146,1013,1.5
146,1013,1.6
146,1014,1.7
146,1014,1.8
146,1013,1.9
146,1014,2
146,1013,2.1
146,1013,2.2
146,1013,2.3
146,1013,2.4
146,1013,2.5
146,1014,2.6
146,1013,2.7
146,1013,2.8
146,1014,2.9
146,1014,3
146,1013,3.1
146,1014,3.2
146,1013,3.3
146,1014,3.4
146,1013,3.5
146,1014,3.6
146,1013,3.7
146,1013,3.8
14,1013,3.9
146,1013,4
146,1013,4.1
146,1013,4.2
146,1012,4.3
146,1011,4.4
146,1012,4.5
146,1012,4.6
146,1012,4.7
146,1012,4.8
146,1012,4.9
146,1012,5
146,1013,5.1
146,1014,5.2
146,1013,5.3
146,1011,5.4
146,1014,5.5
146,1013,5.6
146,1013,5.7
146,1014,5.8
146,1015,5.9
146,1014,6
146,1013,6.1
146,1007,6.2
146,1011,6.3
146,1013,6.4
14146,1013,6.5
146,1014,6.6
146,1015,6.7
146,1014,6.8
146,1014,6.9
146,1014,7
145,1015,7.1
146,1015,7.2
146,1015,7.3
146,1014,7.4
145,1015,7.5
146,1014,7.6
146,1014,7.7
146,1015,7.8
146,1014,7.9
145,1014,8
146,1015,8.1
146,1014,8.2
146,1015,8.3
146,1015,8.4
146,1014,8.5
146,1014,8.6
146,1014,8.7
146,1015,8.8
146,1015,8.9
146,1014,9
146,1014,9.1
146,1015,9.2
146,1014,9.3
146,1014,9.4
146,1014,9.5
145,1015,9.6
145,1015,9.7
146,1015,9.8
146,1015,9.9
145,1015,10
146,1015,10.1
146,1014,10.2
146,1015,10.3
146,1014,10.4
146,1015,10.5
146,1015,10.6
147,1015,10.7
146,1014,10.8
145,1014,10.9
146,1014,11
146,1015,11.1
146,1015,11.2
146,1015,11.3
146,1015,11.4
146,1012,11.5
146,999,11.6
146,933,11.7
146,1011,11.8
146,1015,11.9
146,1015,12
146,1015,12.1
146,1016,12.2
146,1015,12.3
146,1016,12.4
146,1016,12.5
146,1016,12.6
146,1015,12.7
145,1015,12.8
147,1015,12.9
147,1015,13
146,1016,13.1
145,1016,13.2
146,1015,13.3
146,1015,13.4
146,1015,13.5
145,1015,13.6
146,1014,13.7
146,1015,13.8
146,1014,13.9
146,1014,14
145,1014,14.1
146,1015,14.2
147,1014,14.3
146,1015,14.4
146,1015,14.5
146,1014,14.6
146,1015,14.7
146,1015,14.8
146,1015,14.9
147,1015,15
146,1015,15.1
146,1014,15.2
145,1015,15.3
146,1014,15.4
146,1015,15.5
146,1014,15.6
146,1010,15.7
146,991,15.8
146,982,15.9
146,1014,16
146,1014,16.1
146,1013,16.2
146,1005,16.3
145,1008,16.4
146,1006,16.5
146,1009,16.6
146,1011,16.7
146,1011,16.8
146,1011,16.9
146,1012,17
146,1012,17.1
146,1012,17.2
146,1014,17.3
146,1013,17.4
146,1014,17.5
145,1014,17.6
146,1014,17.7
146,1015,17.8
146,1014,17.9
146,1015,18
146,1015,18.1
146,1015,18.2
146,1015,18.3
146,1015,18.4
145,1015,18.5
146,1015,18.6
146,1015,18.7
146,1015,18.8
145,1015,18.9
146,1016,19
146,1014,19.1
146,1015,19.2
146,1014,19.3
146,1015,19.4
146,1015,19.5
146,1015,19.6
145,1015,19.7
146,1015,19.8
146,1015,19.9
146,1016,20
145,1015,20.1
146,1015,20.2
146,1015,20.3
145,1015,20.4
145,1015,20.5
146,1015,20.6
145,1015,20.7
146,1015,20.8
146,1015,20.9
146,1015,21
145,1015,21.1
146,1015,21.2
146,1015,21.3
146,1015,21.4
146,1015,21.5
146,1016,21.6
146,1015,21.7
146,1016,21.8
145,1015,21.9
146,1014,22
146,1015,22.1
145,1014,22.2
146,1015,22.3
145,1015,22.4
146,1015,22.5
145,1015,22.6
146,1016,22.7
145,1016,22.8
146,1015,22.9
146,1016,23
147,1016,23.1
146,1016,23.2
145,1016,23.3
146,1016,23.4
146,1016,23.5
145,1016,23.6
145,1015,23.7
145,1015,23.8
146,1015,23.9
146,1015,24
145,1016,24.1
146,1015,24.2
146,1015,24.3
145,1016,24.4
146,1015,24.5
146,1016,24.6
146,1016,24.7
145,1016,24.8
145,1015,24.9
145,1016,25
146,1015,25.1
145,1015,25.2
146,1015,25.3
146,1016,25.4
146,1016,25.5
146,1016,25.6
146,1015,25.7
146,1016,25.8
145,1015,25.9
146,1016,26
146,1016,26.1
146,1016,26.2
146,1016,26.3
146,1016,26.4
146,1015,26.5
146,1016,26.6
146,1015,26.7
146,1016,26.8
146,1014,26.9
145,1015,27
146,1015,27.1
146,1015,27.2
146,1016,27.3
146,1015,27.4
145,1016,27.5
145,1015,27.6
146,1015,27.7
146,1015,27.8
146,1016,27.9
146,1015,28
145,1015,28.1
146,1015,28.2
146,1015,28.3
146,1015,28.4
145,1016,28.5
146,1016,28.6
146,1016,28.7
145,1016,28.8
147,1015,28.9
146,1016,29
146,1016,29.1
146,1015,29.2
145,1016,29.3
146,1015,29.4
146,1016,29.5
146,1016,29.6
145,1016,29.7
145,1016,29.8
146,1016,29.9
146,1016,30
145,1016,30.1
146,1016,30.2
146,1016,30.3
145,1016,30.4
146,1016,30.5
145,1016,30.6
146,1016,30.7
146,1015,30.8
145,1015,30.9
146,1016,31
146,1016,31.1
146,1016,31.2
145,1015,31.3
146,1016,31.4
146,1017,31.5
146,1016,31.6
146,1016,31.7
145,1016,31.8
146,1016,31.9
146,1016,32
145,1016,32.1
145,1016,32.2
145,1016,32.3
145,1016,32.4
146,1016,32.5
145,1016,32.6
146,1016,32.7
147,1016,32.8
145,1015,32.9
146,1016,33
146,1015,33.1
145,1016,33.2
145,1016,33.3
145,1016,33.4
146,1016,33.5
146,1016,33.6
146,1015,33.7
145,1016,33.8
145,1016,33.9
146,1016,34
146,1016,34.1
145,1016,34.2
145,1016,34.3
146,1016,34.4
146,1016,34.5
145,1016,34.6
146,1016,34.7
146,1016,34.8
146,1016,34.9
146,1016,35
145,1016,35.1
145,1015,35.2
146,1016,35.3
146,1016,35.4
146,1016,35.5
146,1016,35.6
145,1016,35.7
145,1016,35.8
146,1016,35.9
146,1016,36
146,1016,36.1
146,1017,36.2
146,1016,36.3
146,1016,36.4
146,1015,36.5
145,1016,36.6
146,1016,36.7
145,1016,36.8
146,1016,36.9
146,1016,37
146,1016,37.1
146,1016,37.2
145,1015,37.3
145,1016,37.4
146,1016,37.5
146,1016,37.6
146,1016,37.7
145,1016,37.8
145,1016,37.9
145,1017,38
146,1017,38.1
145,1016,38.2
145,1016,38.3
146,1016,38.4
146,1016,38.5
145,1016,38.6
145,1015,38.7
146,1015,38.8
145,1015,38.9
146,1015,39
146,1014,39.1
146,1014,39.2
146,1015,39.3
146,1015,39.4
145,1015,39.5
146,1015,39.6
146,1015,39.7
145,1015,39.8
145,1015,39.9
146,1015,40
146,1015,40.1
146,1015,40.2
145,1015,40.3
145,1014,40.4
146,1015,40.5
145,1015,40.6
145,1014,40.7
146,1015,40.8
145,1014,40.9
145,1014,41
145,1013,41.1
146,1013,41.2
146,1014,41.3
146,1014,41.4
146,1014,41.5
146,1015,41.6
146,1015,41.7
145,1016,41.8
145,1015,41.9
145,1016,42
145,1015,42.1
146,1015,42.2
145,1016,42.3
146,1016,42.4
146,1015,42.5
146,1016,42.6
145,1015,42.7
146,1016,42.8
147,1016,42.9
146,1015,43
145,1015,43.1
145,1016,43.2
146,1015,43.3
145,1016,43.4
145,1016,43.5
146,1016,43.6
145,1016,43.7
146,1016,43.8
145,1016,43.9
146,1015,44
145,1016,44.1
146,1016,44.2
145,1016,44.3
146,1016,44.4
145,1015,44.5
146,1015,44.6
145,1016,44.7
146,1016,44.8
146,1016,44.9
145,1015,45
145,1015,45.1
146,1015,45.2
146,1015,45.3
146,1015,45.4
145,1015,45.5
145,1015,45.6
145,1015,45.7
146,1015,45.8
146,1015,45.9
146,1015,46
145,1015,46.1
146,1015,46.2
146,1015,46.3
145,1015,46.4
146,1015,46.5
146,1016,46.6
145,1015,46.7
145,1015,46.8
145,1015,46.9
145,1015,47
146,1015,47.1
145,1016,47.2
145,1015,47.3
146,1015,47.4
146,1016,47.5
146,1015,47.6
146,1015,47.7
145,1015,47.8
145,1016,47.9
146,1016,48
146,1015,48.1
145,1014,48.2
146,1011,48.3
146,1013,48.4
146,1016,48.5
145,1015,48.6
146,1016,48.7
145,1015,48.8
146,1015,48.9
146,1016,49
146,1016,49.1
146,1015,49.2
145,1016,49.3
146,1017,49.4
146,1016,49.5
145,1016,49.6
146,1016,49.7
146,1016,49.8
146,1016,49.9
145,1015,50
146,1016,50.1
146,1017,50.2
145,1016,50.3
145,1016,50.4
146,1015,50.5
146,1016,50.6
145,1015,50.7
145,1015,50.8
146,1016,50.9
145,1015,51
145,1014,51.1
146,1015,51.2
146,1015,51.3
145,1014,51.4
146,1015,51.5
145,1014,51.6
145,1015,51.7
145,1015,51.8
145,1015,51.9
146,1015,52
146,1015,52.1
146,1015,52.2
146,1014,52.3
145,1015,52.4
146,1014,52.5
145,1015,52.6
146,1015,52.7
145,1015,52.8
145,1014,52.9
145,1015,53
145,1015,53.1
146,1014,53.2
146,1015,53.3
146,1015,53.4
145,1015,53.5
146,1015,53.6
145,1015,53.7
146,1015,53.8
145,1015,53.9
145,1014,54
146,1015,54.1
146,1015,54.2
146,1015,54.3
145,1015,54.4
145,1015,54.5
146,1015,54.6
145,1015,54.7
146,1014,54.8
145,1014,54.9
146,1014,55
145,1014,55.1
145,1014,55.2
145,1015,55.3
145,1014,55.4
145,1015,55.5
145,1014,55.6
146,1014,55.7
146,1015,55.8
145,1014,55.9
146,1015,56
145,1014,56.1
146,1014,56.2
146,1015,56.3
146,1014,56.4
146,1014,56.5
146,1015,56.6
146,1014,56.7
145,1015,56.8
146,1015,56.9
145,1015,57
145,1014,57.1
146,1015,57.2
146,1014,57.3
145,1015,57.4
145,1015,57.5
145,1015,57.6
146,1015,57.7
146,1015,57.8
146,1015,57.9
145,1015,58
145,1014,58.1
146,1014,58.2
145,1015,58.3
145,1015,58.4
145,1015,58.5
145,1014,58.6
145,1015,58.7
146,1015,58.8
145,1015,58.9
146,1015,59
145,1015,59.1
145,1014,59.2
145,1015,59.3
145,1015,59.4
146,1014,59.5
146,1015,59.6
145,1015,59.7
146,1014,59.8
145,1013,59.9
145,1010,60
145,1010,60.1
146,1010,60.2
145,1009,60.3
145,1015,60.4
146,1008,60.5
146,1004,60.6
146,1010,60.7
