Non-Smoke,Smoke,Time
84,345,0.1
84,345,0.2
84,346,0.3
83,345,0.4
83,345,0.5
83,345,0.6
83,345,0.7
83,345,0.8
84,345,0.9
83,345,1
84,345,1.1
83,345,1.2
83,346,1.3
83,345,1.4
84,345,1.5
83,345,1.6
83,345,1.7
83,345,1.8
83,345,1.9
83,345,2
83,345,2.1
83,345,2.2
83,345,2.3
84,345,2.4
83,345,2.5
84,345,2.6
83,345,2.7
83,345,2.8
83,345,2.9
83,345,3
83,345,3.1
83,345,3.2
83,345,3.3
84,345,3.4
83,345,3.5
83,345,3.6
83,345,3.7
83,345,3.8
83,345,3.9
83,345,4
83,344,4.1
83,344,4.2
84,345,4.3
83,344,4.4
83,345,4.5
83,344,4.6
83,344,4.7
84,345,4.8
83,344,4.9
84,345,5
83,345,5.1
83,344,5.2
83,344,5.3
83,344,5.4
83,345,5.5
84,344,5.6
83,345,5.7
83,345,5.8
84,344,5.9
84,344,6
84,344,6.1
83,344,6.2
84,344,6.3
84,344,6.4
83,344,6.5
83,344,6.6
83,344,6.7
83,344,6.8
83,344,6.9
83,344,7
83,345,7.1
83,344,7.2
84,344,7.3
83,344,7.4
83,344,7.5
83,345,7.6
83,344,7.7
83,344,7.8
83,344,7.9
83,344,8
83,344,8.1
83,344,8.2
83,344,8.3
83,344,8.4
83,344,8.5
83,344,8.6
84,344,8.7
83,344,8.8
83,344,8.9
83,344,9
83,344,9.1
83,344,9.2
83,344,9.3
83,344,9.4
84,344,9.5
83,344,9.6
83,344,9.7
84,344,9.8
84,344,9.9
83,343,10
84,344,10.1
83,344,10.2
83,344,10.3
83,343,10.4
83,343,10.5
83,343,10.6
83,344,10.7
83,343,10.8
83,344,10.9
84,344,11
83,344,11.1
83,344,11.2
83,343,11.3
83,343,11.4
84,343,11.5
83,343,11.6
84,343,11.7
83,343,11.8
83,343,11.9
83,343,12
84,343,12.1
83,344,12.2
83,343,12.3
83,343,12.4
83,344,12.5
83,343,12.6
83,343,12.7
83,343,12.8
84,343,12.9
83,343,13
83,343,13.1
83,343,13.2
83,343,13.3
83,343,13.4
83,343,13.5
83,343,13.6
83,343,13.7
83,343,13.8
83,343,13.9
84,343,14
83,343,14.1
84,343,14.2
83,343,14.3
83,343,14.4
84,343,14.5
83,343,14.6
83,343,14.7
83,343,14.8
84,342,14.9
83,343,15
84,342,15.1
84,342,15.2
83,343,15.3
83,343,15.4
84,342,15.5
83,342,15.6
83,342,15.7
84,342,15.8
83,343,15.9
83,342,16
83,342,16.1
84,342,16.2
84,342,16.3
84,342,16.4
83,342,16.5
83,342,16.6
83,342,16.7
84,342,16.8
83,342,16.9
83,342,17
83,342,17.1
83,343,17.2
84,342,17.3
83,342,17.4
83,343,17.5
83,342,17.6
83,342,17.7
84,342,17.8
83,342,17.9
83,342,18
84,342,18.1
83,342,18.2
83,342,18.3
83,342,18.4
84,342,18.5
84,342,18.6
84,342,18.7
84,343,18.8
84,342,18.9
83,343,19
83,342,19.1
83,341,19.2
84,342,19.3
84,342,19.4
83,341,19.5
83,342,19.6
83,341,19.7
83,342,19.8
83,342,19.9
84,341,20
84,342,20.1
84,342,20.2
83,341,20.3
83,342,20.4
83,341,20.5
84,342,20.6
84,341,20.7
84,341,20.8
84,342,20.9
83,341,21
83,341,21.1
84,342,21.2
84,341,21.3
84,341,21.4
83,341,21.5
83,342,21.6
84,341,21.7
83,341,21.8
84,341,21.9
84,341,22
83,341,22.1
84,341,22.2
83,341,22.3
83,342,22.4
83,341,22.5
83,341,22.6
84,341,22.7
83,341,22.8
84,341,22.9
83,341,23
84,341,23.1
83,341,23.2
83,342,23.3
84,341,23.4
83,340,23.5
84,341,23.6
83,341,23.7
83,341,23.8
83,341,23.9
83,341,24
83,341,24.1
83,341,24.2
84,341,24.3
83,340,24.4
84,341,24.5
83,341,24.6
83,341,24.7
83,341,24.8
83,340,24.9
83,341,25
83,340,25.1
83,340,25.2
83,340,25.3
83,341,25.4
83,341,25.5
84,341,25.6
83,340,25.7
84,341,25.8
83,341,25.9
83,340,26
83,341,26.1
83,340,26.2
84,340,26.3
83,341,26.4
83,340,26.5
84,340,26.6
83,340,26.7
83,340,26.8
84,341,26.9
83,340,27
83,340,27.1
83,341,27.2
83,340,27.3
83,340,27.4
84,340,27.5
83,340,27.6
84,340,27.7
83,340,27.8
84,340,27.9
83,341,28
83,340,28.1
83,340,28.2
83,340,28.3
83,340,28.4
83,340,28.5
84,340,28.6
83,340,28.7
83,340,28.8
83,340,28.9
83,340,29
83,340,29.1
83,340,29.2
83,340,29.3
83,340,29.4
83,339,29.5
83,340,29.6
84,340,29.7
83,340,29.8
83,340,29.9
83,340,30
83,340,30.1
83,340,30.2
83,340,30.3
83,340,30.4
84,340,30.5
83,340,30.6
84,339,30.7
84,340,30.8
83,339,30.9
83,339,31
83,339,31.1
84,339,31.2
83,339,31.3
84,339,31.4
83,340,31.5
83,339,31.6
84,339,31.7
83,340,31.8
84,340,31.9
83,339,32
84,339,32.1
83,340,32.2
84,339,32.3
83,339,32.4
83,340,32.5
83,339,32.6
83,339,32.7
84,339,32.8
83,339,32.9
83,340,33
83,339,33.1
83,339,33.2
83,339,33.3
83,339,33.4
83,339,33.5
83,339,33.6
83,339,33.7
83,339,33.8
83,339,33.9
83,339,34
83,339,34.1
83,340,34.2
83,339,34.3
84,339,34.4
83,339,34.5
84,339,34.6
84,339,34.7
83,339,34.8
83,339,34.9
83,339,35
83,339,35.1
83,339,35.2
83,339,35.3
83,339,35.4
83,339,35.5
83,339,35.6
83,339,35.7
84,340,35.8
83,339,35.9
83,339,36
83,338,36.1
83,338,36.2
83,339,36.3
83,339,36.4
83,338,36.5
83,339,36.6
83,339,36.7
84,339,36.8
83,338,36.9
83,338,37
84,339,37.1
83,338,37.2
84,339,37.3
83,339,37.4
83,339,37.5
83,339,37.6
83,339,37.7
83,338,37.8
83,339,37.9
83,338,38
83,339,38.1
84,338,38.2
83,339,38.3
84,338,38.4
83,338,38.5
84,339,38.6
83,339,38.7
84,338,38.8
83,338,38.9
85,339,39
84,338,39.1
83,339,39.2
84,339,39.3
83,338,39.4
83,339,39.5
83,338,39.6
84,338,39.7
83,338,39.8
83,338,39.9
83,338,40
83,338,40.1
83,338,40.2
84,338,40.3
84,338,40.4
83,338,40.5
83,338,40.6
83,338,40.7
83,339,40.8
84,338,40.9
83,338,41
83,338,41.1
84,338,41.2
83,338,41.3
83,338,41.4
83,338,41.5
83,338,41.6
83,338,41.7
83,338,41.8
83,338,41.9
83,338,42
84,338,42.1
83,338,42.2
83,338,42.3
83,338,42.4
83,338,42.5
83,338,42.6
83,337,42.7
83,338,42.8
83,338,42.9
84,338,43
84,338,43.1
84,338,43.2
83,337,43.3
83,338,43.4
83,338,43.5
84,337,43.6
83,338,43.7
83,338,43.8
84,338,43.9
83,338,44
84,337,44.1
83,338,44.2
83,337,44.3
83,337,44.4
84,337,44.5
83,338,44.6
84,337,44.7
83,337,44.8
83,337,44.9
83,338,45
84,338,45.1
84,338,45.2
84,337,45.3
83,337,45.4
84,338,45.5
83,337,45.6
83,338,45.7
83,337,45.8
83,337,45.9
84,337,46
83,337,46.1
83,337,46.2
83,337,46.3
83,337,46.4
83,337,46.5
83,337,46.6
83,337,46.7
83,337,46.8
83,337,46.9
83,337,47
83,337,47.1
83,337,47.2
83,337,47.3
83,337,47.4
83,337,47.5
83,338,47.6
83,337,47.7
83,337,47.8
83,337,47.9
83,337,48
83,338,48.1
83,337,48.2
84,337,48.3
83,337,48.4
83,337,48.5
83,337,48.6
83,337,48.7
83,337,48.8
83,337,48.9
83,337,49
83,337,49.1
84,337,49.2
83,337,49.3
84,337,49.4
83,337,49.5
83,337,49.6
83,337,49.7
83,337,49.8
