Normal Atmosphere,Polluted Atmosphere (Natural gas),Time (sec)
122,122,0.1
122,122,0.2
122,122,0.3
122,122,0.4
122,1,0.5
122,121,0.6
122,122,0.7
122,122,0.8
123,121,0.9
122,121,1
122,122,1.1
122,121,1.2
122,121,1.3
122,121,1.4
122,122,1.5
122,122,1.6
122,122,1.7
123,122,1.8
122,121,1.9
123,122,2
123,122,2.1
123,122,2.2
123,121,2.3
124,122,2.4
123,122,2.5
123,122,2.6
123,122,2.7
124,122,2.8
123,122,2.9
124,122,3
123,12,3.1
123,121,3.2
123,122,3.3
123,122,3.4
123,121,3.5
123,121,3.6
123,122,3.7
123,121,3.8
123,121,3.9
123,121,4
123,122,4.1
123,122,4.2
123,122,4.3
123,122,4.4
123,121,4.5
123,122,4.6
124,122,4.7
123,122,4.8
123,121,4.9
123,122,5
123,122,5.1
124,122,5.2
123,122,5.3
123,122,5.4
123,122,5.5
123,122,5.6
123,12122,5.7
123,122,5.8
123,121,5.9
123,122,6
123,122,6.1
124,121,6.2
123,121,6.3
123,121,6.4
123,122,6.5
123,121,6.6
123,121,6.7
123,121,6.8
123,121,6.9
123,121,7
124,121,7.1
123,122,7.2
123,121,7.3
123,121,7.4
124,121,7.5
123,121,7.6
123,121,7.7
123,122,7.8
124,121,7.9
123,121,8
123,121,8.1
123,121,8.2
123,122,8.3
123,121,8.4
123,121,8.5
124,121,8.6
123,122,8.7
123,122,8.8
123,121,8.9
123,121,9
123,121,9.1
124,122,9.2
123,121,9.3
123,122,9.4
124,122,9.5
123,121,9.6
123,122,9.7
123,121,9.8
123,122,9.9
123,122,10
123,121,10.1
123,122,10.2
123,122,10.3
123,122,10.4
123,122,10.5
123,122,10.6
124,122,10.7
123,122,10.8
124,122,10.9
124,122,11
123,122,11.1
123,122,11.2
124,123,11.3
123,123,11.4
123,123,11.5
123,123,11.6
123,123,11.7
123,123,11.8
123,123,11.9
124,123,12
123,123,12.1
124,123,12.2
124,123,12.3
123,123,12.4
123,124,12.5
124,123,12.6
123,124,12.7
123,124,12.8
123,123,12.9
123,124,13
124,124,13.1
123,125,13.2
123,124,13.3
124,124,13.4
123,124,13.5
124,124,13.6
123,125,13.7
123,125,13.8
124,125,13.9
123,125,14
123,125,14.1
124,124,14.2
123,125,14.3
123,125,14.4
124,126,14.5
123,125,14.6
124,126,14.7
124,125,14.8
123,126,14.9
123,126,15
123,126,15.1
124,126,15.2
124,126,15.3
123,126,15.4
123,125,15.5
123,125,15.6
124,125,15.7
123,125,15.8
124,126,15.9
123,126,16
123,125,16.1
123,127,16.2
123,125,16.3
124,126,16.4
124,126,16.5
124,127,16.6
124,126,16.7
123,126,16.8
124,127,16.9
124,127,17
124,126,17.1
124,127,17.2
124,128,17.3
123,127,17.4
124,128,17.5
123,129,17.6
124,130,17.7
124,131,17.8
123,132,17.9
124,134,18
123,136,18.1
124,138,18.2
123,141,18.3
124,144,18.4
124,146,18.5
123,150,18.6
124,154,18.7
123,158,18.8
123,162,18.9
124,166,19
124,171,19.1
124,174,19.2
123,180,19.3
124,185,19.4
124,189,19.5
123,194,19.6
123,199,19.7
124,204,19.8
124,208,19.9
124,214,20
124,219,20.1
124,224,20.2
124,229,20.3
124,234,20.4
124,239,20.5
124,244,20.6
124,248,20.7
124,253,20.8
123,257,20.9
124,262,21
124,266,21.1
124,271,21.2
123,274,21.3
124,278,21.4
124,282,21.5
123,287,21.6
123,290,21.7
123,294,21.8
124,298,21.9
123,302,22
124,304,22.1
124,305,22.2
124,308,22.3
124,310,22.4
124,309,22.5
124,314,22.6
124,313,22.7
123,317,22.8
124,319,22.9
124,323,23
123,327,23.1
124,335,23.2
124,339,23.3
124,343,23.4
124,345,23.5
124,347,23.6
124,352,23.7
124,356,23.8
124,358,23.9
124,361,24
124,364,24.1
123,367,24.2
124,369,24.3
124,371,24.4
124,374,24.5
124,376,24.6
124,378,24.7
124,380,24.8
123,383,24.9
124,385,25
123,386,25.1
124,389,25.2
124,390,25.3
124,392,25.4
125,394,25.5
124,395,25.6
124,398,25.7
124,400,25.8
124,401,25.9
124,403,26
124,404,26.1
124,406,26.2
124,407,26.3
124,410,26.4
124,411,26.5
124,412,26.6
124,414,26.7
123,415,26.8
124,416,26.9
124,418,27
124,419,27.1
124,420,27.2
124,422,27.3
124,423,27.4
124,424,27.5
123,425,27.6
123,426,27.7
124,428,27.8
124,429,27.9
124,430,28
124,431,28.1
124,432,28.2
124,433,28.3
124,434,28.4
124,436,28.5
124,437,28.6
124,438,28.7
124,439,28.8
124,440,28.9
124,441,29
125,442,29.1
124,443,29.2
124,444,29.3
124,445,29.4
124,446,29.5
124,447,29.6
124,448,29.7
125,448,29.8
124,450,29.9
124,450,30
124,451,30.1
124,452,30.2
124,452,30.3
125,453,30.4
124,454,30.5
124,455,30.6
124,456,30.7
124,456,30.8
124,457,30.9
124,458,31
124,458,31.1
124,458,31.2
124,459,31.3
124,459,31.4
124,461,31.5
125,461,31.6
124,462,31.7
124,462,31.8
125,463,31.9
125,463,32
124,465,32.1
124,464,32.2
124,465,32.3
124,465,32.4
124,466,32.5
124,466,32.6
124,467,32.7
124,467,32.8
124,468,32.9
124,468,33
125,469,33.1
124,469,33.2
124,470,33.3
124,470,33.4
125,471,33.5
124,471,33.6
124,472,33.7
125,471,33.8
124,472,33.9
124,472,34
124,473,34.1
123,473,34.2
124,473,34.3
124,474,34.4
124,474,34.5
124,474,34.6
125,475,34.7
124,476,34.8
124,476,34.9
124,476,35
124,476,35.1
124,476,35.2
124,477,35.3
125,477,35.4
124,477,35.5
124,477,35.6
124,478,35.7
124,478,35.8
124,478,35.9
125,478,36
124,479,36.1
125,479,36.2
124,479,36.3
124,479,36.4
125,479,36.5
124,479,36.6
124,480,36.7
124,480,36.8
124,480,36.9
124,480,37
124,480,37.1
124,481,37.2
124,481,37.3
124,481,37.4
124,481,37.5
125,481,37.6
124,482,37.7
125,482,37.8
124,482,37.9
124,482,38
124,482,38.1
124,482,38.2
124,482,38.3
124,482,38.4
124,483,38.5
124,482,38.6
125,483,38.7
125,483,38.8
124,483,38.9
124,483,39
124,483,39.1
124,483,39.2
124,483,39.3
124,483,39.4
124,484,39.5
125,483,39.6
124,484,39.7
124,483,39.8
124,484,39.9
124,483,40
124,484,40.1
124,484,40.2
124,484,40.3
124,484,40.4
124,484,40.5
124,484,40.6
124,484,40.7
125,484,40.8
124,485,40.9
124,484,41
124,485,41.1
124,485,41.2
124,485,41.3
124,485,41.4
124,484,41.5
124,485,41.6
124,485,41.7
125,485,41.8
125,485,41.9
124,485,42
124,485,42.1
124,485,42.2
124,485,42.3
124,485,42.4
125,484,42.5
124,485,42.6
124,486,42.7
124,485,42.8
124,485,42.9
124,485,43
124,485,43.1
124,485,43.2
124,485,43.3
124,485,43.4
124,485,43.5
124,485,43.6
125,485,43.7
124,485,43.8
124,485,43.9
124,485,44
124,485,44.1
124,485,44.2
124,485,44.3
124,485,44.4
124,485,44.5
124,485,44.6
124,485,44.7
124,485,44.8
124,485,44.9
125,485,45
124,485,45.1
124,485,45.2
124,486,45.3
124,485,45.4
124,485,45.5
124,485,45.6
124,485,45.7
124,484,45.8
124,485,45.9
124,484,46
124,484,46.1
124,484,46.2
124,484,46.3
123,484,46.4
124,484,46.5
124,484,46.6
124,484,46.7
125,484,46.8
124,484,46.9
124,484,47
124,484,47.1
124,484,47.2
124,484,47.3
124,484,47.4
125,484,47.5
124,484,47.6
124,484,47.7
124,484,47.8
124,484,47.9
124,483,48
124,483,48.1
124,484,48.2
124,483,48.3
124,483,48.4
124,483,48.5
124,483,48.6
124,483,48.7
124,483,48.8
124,483,48.9
124,483,49
125,483,49.1
124,483,49.2
124,483,49.3
124,483,49.4
124,483,49.5
125,483,49.6
124,483,49.7
124,483,49.8
124,482,49.9
124,482,50
124,482,50.1
124,482,50.2
124,482,50.3
124,482,50.4
124,482,50.5
124,482,50.6
124,481,50.7
124,482,50.8
124,482,50.9
124,481,51
124,481,51.1
125,481,51.2
124,481,51.3
123,481,51.4
124,481,51.5
124,481,51.6
124,481,51.7
124,480,51.8
124,480,51.9
125,480,52
124,480,52.1
124,480,52.2
124,481,52.3
124,482,52.4
124,482,52.5
124,482,52.6
124,482,52.7
124,482,52.8
124,482,52.9
124,482,53
125,483,53.1
125,482,53.2
124,483,53.3
124,482,53.4
124,481,53.5
124,482,53.6
124,481,53.7
124,481,53.8
124,482,53.9
124,482,54
124,482,54.1
124,481,54.2
124,481,54.3
124,481,54.4
124,481,54.5
124,480,54.6
124,480,54.7
123,481,54.8
124,480,54.9
124,480,55
124,480,55.1
124,480,55.2
124,480,55.3
124,480,55.4
124,478,55.5
124,478,55.6
124,477,55.7
124,478,55.8
124,477,55.9
124,477,56
124,477,56.1
124,477,56.2
124,477,56.3
124,477,56.4
124,477,56.5
124,476,56.6
124,477,56.7
124,476,56.8
124,476,56.9
124,476,57
124,476,57.1
124,475,57.2
124,475,57.3
125,476,57.4
124,475,57.5
124,475,57.6
124,475,57.7
123,475,57.8
124,475,57.9
124,475,58
125,475,58.1
124,475,58.2
123,474,58.3
124,475,58.4
124,474,58.5
124,474,58.6
124,474,58.7
125,474,58.8
124,474,58.9
124,474,59
124,474,59.1
124,474,59.2
124,473,59.3
124,474,59.4
124,473,59.5
124,473,59.6
124,473,59.7
124,473,59.8
124,473,59.9
124,473,60
124,472,60.1
124,473,60.2
124,472,60.3
125,472,60.4
124,472,60.5
124,472,60.6
124,472,60.7
124,472,60.8
124,472,60.9
124,472,61
124,471,61.1
124,471,61.2
124,471,61.3
124,471,61.4
124,471,61.5
124,471,61.6
124,473,61.7
124,474,61.8
125,473,61.9
124,473,62
124,473,62.1
124,473,62.2
124,473,62.3
124,473,62.4
124,473,62.5
124,472,62.6
124,472,62.7
124,472,62.8
124,473,62.9
124,473,63
124,472,63.1
124,472,63.2
124,472,63.3
124,472,63.4
124,471,63.5
124,472,63.6
124,471,63.7
124,471,63.8
124,471,63.9
124,471,64
124,471,64.1
124,471,64.2
124,471,64.3
123,471,64.4
124,470,64.5
124,470,64.6
123,471,64.7
125,470,64.8
125,471,64.9
124,470,65
124,470,65.1
124,470,65.2
124,470,65.3
124,470,65.4
124,470,65.5
124,470,65.6
124,470,65.7
124,470,65.8
124,470,65.9
124,470,66
124,471,66.1
123,471,66.2
124,470,66.3
124,470,66.4
124,470,66.5
124,469,66.6
124,470,66.7
124,469,66.8
123,469,66.9
124,469,67
125,469,67.1
125,469,67.2
123,469,67.3
124,469,67.4
125,468,67.5
124,468,67.6
124,468,67.7
125,467,67.8
124,468,67.9
124,468,68
123,468,68.1
124,468,68.2
124,467,68.3
124,467,68.4
123,467,68.5
124,467,68.6
125,466,68.7
124,467,68.8
124,466,68.9
124,466,69
124,466,69.1
124,466,69.2
124,466,69.3
124,466,69.4
124,466,69.5
124,466,69.6
123,465,69.7
124,465,69.8
124,465,69.9
123,465,70
124,465,70.1
124,465,70.2
124,465,70.3
