Normal Atmosphere,Flammable gas detected ,Time
97,154,0.1
97,153,0.2
97,190,0.3
97,157,0.4
97,159,0.5
97,158,0.6
97,188,0.7
97,187,0.8
97,185,0.9
97,195,1
97,151,1.1
97,155,1.2
97,192,1.3
97,158,1.4
97,558,1.5
97,558,1.6
97,1016,1.7
97,1016,1.8
97,1015,1.9
97,1003,2
97,1016,2.1
97,1015,2.2
97,1016,2.3
97,1016,2.4
97,1015,2.5
97,1017,2.6
97,1016,2.7
97,1017,2.8
97,1017,2.9
97,1017,3
97,1016,3.1
97,1017,3.2
97,1017,3.3
97,1016,3.4
97,1017,3.5
97,1016,3.6
97,1017,3.7
97,1017,3.8
97,1017,3.9
97,1017,4
97,1017,4.1
97,1017,4.2
97,1017,4.3
97,1017,4.4
97,1017,4.5
97,1016,4.6
97,1017,4.7
97,1017,4.8
97,1017,4.9
97,1017,5
98,1016,5.1
97,1016,5.2
97,1016,5.3
97,1015,5.4
97,1015,5.5
97,1016,5.6
97,1016,5.7
97,1016,5.8
97,1017,5.9
97,1016,6
98,1017,6.1
97,1016,6.2
97,1015,6.3
97,1016,6.4
97,1016,6.5
97,1016,6.6
97,1016,6.7
97,1016,6.8
97,1016,6.9
98,1016,7
97,1016,7.1
97,1016,7.2
97,1016,7.3
97,1016,7.4
97,1016,7.5
97,1016,7.6
97,1016,7.7
98,1016,7.8
97,1016,7.9
97,1016,8
97,1016,8.1
97,1016,8.2
97,1015,8.3
98,1016,8.4
97,1017,8.5
97,1017,8.6
98,1017,8.7
97,1016,8.8
97,1017,8.9
97,1016,9
97,1016,9.1
97,1015,9.2
97,1016,9.3
97,1015,9.4
97,1015,9.5
97,1016,9.6
97,1016,9.7
97,1016,9.8
96,1016,9.9
97,1017,10
97,1016,10.1
97,1016,10.2
97,1016,10.3
97,1016,10.4
97,1016,10.5
97,1014,10.6
97,1011,10.7
97,1009,10.8
97,998,10.9
97,979,11
97,1000,11.1
97,1014,11.2
97,1016,11.3
97,1016,11.4
97,1015,11.5
97,1016,11.6
97,1015,11.7
98,1015,11.8
96,1013,11.9
97,1013,12
97,1004,12.1
97,1012,12.2
97,1002,12.3
97,996,12.4
97,999,12.5
97,999,12.6
97,999,12.7
97,1002,12.8
97,1008,12.9
97,1009,13
97,1007,13.1
97,1008,13.2
96,1014,13.3
97,1015,13.4
96,1015,13.5
97,1012,13.6
97,1013,13.7
97,1013,13.8
97,1008,13.9
97,1008,14
97,1012,14.1
97,1009,14.2
96,1011,14.3
97,1013,14.4
97,1013,14.5
97,1007,14.6
97,1007,14.7
97,1013,14.8
97,1012,14.9
96,993,15
97,1004,15.1
97,1002,15.2
97,1011,15.3
97,1010,15.4
97,1007,15.5
96,1016,15.6
96,1016,15.7
97,1016,15.8
97,964,15.9
97,1016,16
97,1017,16.1
97,1016,16.2
96,1016,16.3
97,1016,16.4
97,1015,16.5
97,1015,16.6
96,1014,16.7
97,1015,16.8
97,1014,16.9
97,1014,17
96,990,17.1
97,1017,17.2
96,1017,17.3
97,1017,17.4
