Normal Atmosphere,Polluted Atmosphere,Time (sec)
146,120,0.1
146,120,0.2
146,120,0.3
146,120,0.4
146,120,0.5
146,120,0.6
146,120,0.7
146,120,0.8
146,120,0.9
146,120,1
146,120,1.1
146,120,1.2
146,120,1.3
146,120,1.4
147,120,1.5
146,120,1.6
146,120,1.7
146,20,1.8
146,120,1.9
146,120,2
146,120,2.1
146,120,2.2
146,120,2.3
146,120,2.4
146,120,2.5
146,120,2.6
146,120,2.7
146,120,2.8
146,120,2.9
146,120,3
146,120,3.1
146,120,3.2
146,120,3.3
146,120,3.4
146,120,3.5
146,120,3.6
146,120,3.7
146,120,3.8
146,120,3.9
147,120,4
146,120,4.1
146,120,4.2
146,120,4.3
146,115,4.4
146,115,4.5
146,115,4.6
145,115,4.7
145,115,4.8
146,115,4.9
146,115,5
145,115,5.1
145,115,5.2
147,114,5.3
146,115,5.4
146,114,5.5
146,114,5.6
145,115,5.7
146,114,5.8
146,115,5.9
145,115,6
146,114,6.1
146,114,6.2
146,114,6.3
146,115,6.4
146,114,6.5
146,115,6.6
145,114,6.7
146,114,6.8
145,114,6.9
146,116,7
146,117,7.1
146,115,7.2
146,115,7.3
146,115,7.4
146,115,7.5
145,115,7.6
145,115,7.7
145,115,7.8
145,115,7.9
146,116,8
145,116,8.1
146,117,8.2
146,116,8.3
146,116,8.4
146,115,8.5
146,117,8.6
145,117,8.7
146,117,8.8
146,118,8.9
146,119,9
145,119,9.1
145,118,9.2
145,120,9.3
145,120,9.4
145,121,9.5
145,121,9.6
145,122,9.7
145,122,9.8
145,122,9.9
146,123,10
145,123,10.1
145,123,10.2
146,124,10.3
145,125,10.4
145,125,10.5
145,126,10.6
145,127,10.7
146,127,10.8
146,128,10.9
146,128,11
145,130,11.1
145,130,11.2
145,131,11.3
145,132,11.4
145,133,11.5
145,134,11.6
145,135,11.7
145,136,11.8
145,137,11.9
145,138,12
146,139,12.1
145,140,12.2
145,141,12.3
145,142,12.4
146,143,12.5
145,144,12.6
145,145,12.7
146,146,12.8
146,147,12.9
145,148,13
145,150,13.1
146,150,13.2
145,151,13.3
145,153,13.4
146,153,13.5
145,154,13.6
145,155,13.7
146,156,13.8
145,156,13.9
145,158,14
145,159,14.1
146,160,14.2
146,160,14.3
145,161,14.4
146,163,14.5
145,163,14.6
145,164,14.7
145,165,14.8
145,166,14.9
146,167,15
145,167,15.1
145,169,15.2
145,169,15.3
145,171,15.4
145,171,15.5
145,173,15.6
145,174,15.7
145,175,15.8
145,176,15.9
145,177,16
145,177,16.1
145,178,16.2
145,179,16.3
145,180,16.4
145,182,16.5
145,182,16.6
145,182,16.7
146,184,16.8
145,185,16.9
145,185,17
145,187,17.1
145,187,17.2
145,188,17.3
145,189,17.4
145,190,17.5
145,191,17.6
145,192,17.7
145,193,17.8
145,193,17.9
145,194,18
145,195,18.1
145,196,18.2
145,196,18.3
145,197,18.4
145,199,18.5
145,199,18.6
145,199,18.7
145,200,18.8
145,201,18.9
145,202,19
145,203,19.1
145,204,19.2
145,204,19.3
145,205,19.4
145,206,19.5
146,207,19.6
145,207,19.7
145,207,19.8
145,209,19.9
145,209,20
145,209,20.1
144,210,20.2
145,212,20.3
145,212,20.4
145,212,20.5
145,213,20.6
145,213,20.7
146,214,20.8
145,215,20.9
145,215,21
145,216,21.1
145,216,21.2
145,217,21.3
145,217,21.4
145,218,21.5
145,218,21.6
145,220,21.7
145,219,21.8
145,220,21.9
145,220,22
145,221,22.1
145,221,22.2
144,221,22.3
145,222,22.4
144,222,22.5
145,222,22.6
144,223,22.7
144,223,22.8
145,224,22.9
144,224,23
145,224,23.1
144,226,23.2
144,225,23.3
145,225,23.4
145,226,23.5
145,226,23.6
144,226,23.7
145,228,23.8
145,228,23.9
145,228,24
144,228,24.1
145,228,24.2
145,229,24.3
145,229,24.4
145,230,24.5
144,230,24.6
145,230,24.7
145,231,24.8
145,231,24.9
144,231,25
144,232,25.1
145,233,25.2
145,233,25.3
145,234,25.4
144,235,25.5
145,235,25.6
145,235,25.7
145,236,25.8
145,237,25.9
144,238,26
145,238,26.1
144,238,26.2
144,239,26.3
145,239,26.4
145,239,26.5
144,240,26.6
144,241,26.7
144,241,26.8
145,242,26.9
144,242,27
144,243,27.1
144,243,27.2
144,244,27.3
145,245,27.4
144,245,27.5
145,246,27.6
145,247,27.7
144,247,27.8
144,247,27.9
144,248,28
145,249,28.1
144,249,28.2
145,249,28.3
145,250,28.4
145,251,28.5
144,252,28.6
145,252,28.7
144,252,28.8
144,253,28.9
145,254,29
144,254,29.1
145,255,29.2
144,255,29.3
144,256,29.4
145,257,29.5
145,257,29.6
144,257,29.7
145,258,29.8
144,259,29.9
144,259,30
144,260,30.1
144,261,30.2
144,261,30.3
144,261,30.4
145,262,30.5
144,263,30.6
144,263,30.7
144,265,30.8
144,265,30.9
145,265,31
144,266,31.1
144,266,31.2
145,267,31.3
144,267,31.4
144,268,31.5
144,268,31.6
144,269,31.7
144,269,31.8
144,270,31.9
144,270,32
144,271,32.1
144,271,32.2
144,271,32.3
144,272,32.4
144,272,32.5
144,273,32.6
144,274,32.7
144,273,32.8
144,274,32.9
144,275,33
145,275,33.1
144,276,33.2
144,276,33.3
144,277,33.4
144,277,33.5
144,277,33.6
144,278,33.7
144,279,33.8
145,279,33.9
144,280,34
144,280,34.1
144,280,34.2
144,281,34.3
145,281,34.4
144,282,34.5
144,282,34.6
144,283,34.7
144,283,34.8
144,284,34.9
144,285,35
145,285,35.1
144,285,35.2
144,286,35.3
144,286,35.4
144,287,35.5
144,287,35.6
144,287,35.7
144,288,35.8
144,288,35.9
144,289,36
144,289,36.1
144,289,36.2
144,289,36.3
144,290,36.4
144,290,36.5
144,292,36.6
145,292,36.7
144,292,36.8
144,293,36.9
144,293,37
144,293,37.1
145,294,37.2
144,294,37.3
144,295,37.4
144,295,37.5
144,295,37.6
144,296,37.7
144,296,37.8
144,296,37.9
144,297,38
144,297,38.1
145,297,38.2
144,298,38.3
144,298,38.4
144,299,38.5
143,300,38.6
144,299,38.7
144,300,38.8
144,300,38.9
144,300,39
144,301,39.1
145,301,39.2
145,301,39.3
144,302,39.4
144,302,39.5
144,302,39.6
144,302,39.7
143,303,39.8
144,303,39.9
144,304,40
144,304,40.1
144,304,40.2
144,304,40.3
144,305,40.4
144,305,40.5
144,305,40.6
144,306,40.7
145,306,40.8
144,306,40.9
144,306,41
144,307,41.1
144,307,41.2
144,307,41.3
144,308,41.4
145,308,41.5
144,308,41.6
144,308,41.7
144,308,41.8
144,308,41.9
144,309,42
144,309,42.1
144,309,42.2
144,308,42.3
144,307,42.4
144,305,42.5
144,302,42.6
144,302,42.7
144,302,42.8
144,302,42.9
144,301,43
143,301,43.1
144,301,43.2
