LPG,,,,,
MQ-2,MQ-5,MQ-6,MQ-8,MQ-9,MQ-135
97,534,600,363,325,459
98,533,599,362,324,459
98,534,600,362,326,458
98,534,600,363,326,458
98,534,600,363,327,458
98,534,600,362,329,458
98,534,600,363,329,456
98,533,599,363,329,457
97,533,599,362,331,456
98,534,600,363,332,455
98,533,599,363,334,454
98,533,599,362,334,455
98,533,599,363,335,454
98,533,599,362,337,454
97,533,599,363,337,453
98,533,599,362,338,453
98,532,598,362,338,453
98,532,598,362,339,452
98,532,598,362,338,452
98,533,599,361,338,452
98,533,599,362,338,451
99,532,598,361,338,451
98,533,599,362,338,451
98,532,598,361,337,450
98,532,598,362,336,450
98,532,598,361,336,450
98,532,598,362,334,449
98,532,598,361,334,450
98,532,598,361,333,449
98,532,598,361,332,448
98,532,598,362,331,448
98,532,598,361,331,449
98,532,598,361,330,448
98,532,598,361,329,448
98,531,597,361,329,448
98,532,598,362,329,448
99,532,598,361,328,448
98,531,597,361,329,448
97,532,598,361,329,447
97,532,598,361,329,447
98,531,597,361,329,447
98,532,598,362,329,447
98,532,598,361,330,447
98,532,598,362,331,446
99,532,598,361,331,446
98,532,598,362,332,446
97,532,598,361,334,447
99,532,598,361,334,446
98,532,598,361,335,445
98,532,598,361,336,445
98,532,598,361,337,445
98,532,598,361,339,445
98,531,597,362,339,444
98,532,598,362,340,444
98,532,598,361,341,444
98,532,598,362,342,443
98,532,598,362,342,443
98,532,598,361,342,443
98,532,598,362,343,442
98,532,598,361,343,443
98,532,598,361,342,442
98,532,598,361,342,442
98,532,598,361,341,442
98,532,598,361,341,442
98,532,598,361,340,441
98,532,598,361,340,441
98,532,598,361,339,442
98,532,598,361,339,441
98,532,598,361,337,442
98,532,598,361,337,441
98,532,598,361,336,441
98,532,598,360,334,441
98,533,599,360,335,441
98,533,599,360,333,442
98,533,599,360,333,442
98,533,599,361,332,442
98,533,599,360,332,442
98,534,600,360,331,442
97,534,600,360,329,442
97,534,600,360,329,442
99,534,600,360,328,443
97,534,600,359,327,442
97,535,601,359,326,443
98,535,601,359,325,443
98,535,601,359,324,443
97,535,601,359,323,443
98,535,601,359,321,443
98,535,601,359,320,443
97,536,602,360,319,443
98,536,602,358,318,443
98,536,602,358,318,443
97,536,602,358,318,443
97,536,602,358,318,443
99,537,603,360,318,443
97,537,603,357,319,443
97,537,603,357,319,443
97,537,603,357,318,444
98,538,604,357,318,443
98,538,604,357,317,444
98,537,603,357,317,443
98,537,603,358,317,444
97,537,603,358,317,444
98,538,604,358,317,443
98,538,604,358,317,445
98,538,604,358,317,443
97,537,603,358,316,443
97,537,603,359,316,443
98,537,603,359,316,442
99,537,603,360,316,444
99,536,602,360,315,442
98,537,603,360,315,443
97,537,603,361,314,443
98,537,603,361,314,443
98,537,603,362,314,442
99,537,603,362,314,443
98,537,603,363,315,442
97,537,603,363,315,442
98,537,603,364,317,442
99,537,603,363,318,441
99,537,603,364,319,441
98,536,602,364,322,442
98,536,602,365,325,440
98,536,602,365,327,441
99,536,602,366,331,440
98,537,603,366,334,440
99,536,602,367,338,441
98,535,601,367,341,440
98,535,601,368,345,441
99,536,602,368,348,440
98,535,601,368,352,440
98,535,601,368,352,440
98,535,601,368,354,439
98,536,602,369,355,439
97,535,601,368,357,439
97,535,601,368,359,439
98,534,600,369,359,439
98,534,600,370,360,439
98,535,601,370,361,439
97,535,601,370,362,439
98,534,600,371,364,438
98,534,600,371,365,438
98,534,600,371,366,438
98,534,600,371,367,439
98,535,601,371,367,438
98,534,600,371,368,438
99,535,601,372,370,439
99,536,602,373,370,439
99,535,601,373,369,439
98,535,601,372,368,438
98,535,601,372,368,439
99,535,601,374,367,441
99,535,601,373,367,439
