MQ-2,MQ-5,MQ-6,MQ-8,MQ-9,MQ-135,Label
192,554,706,662,508,613,1
191,554,707,662,508,613,1
192,554,707,662,510,613,1
192,554,707,663,511,613,1
193,555,707,662,511,614,1
194,554,707,662,513,614,1
193,554,708,663,514,615,1
194,554,708,663,515,616,1
194,555,708,663,516,615,1
194,555,708,663,517,615,1
195,555,709,663,518,617,1
195,555,709,663,520,616,1
196,555,710,663,519,617,1
197,556,709,663,520,617,1
196,556,709,663,521,618,1
196,555,709,664,522,618,1
196,557,709,664,522,618,1
196,556,709,663,522,618,1
197,556,710,663,523,619,1
197,556,710,664,524,619,1
198,557,711,664,525,620,1
198,557,710,664,526,620,1
199,557,711,665,526,621,1
199,558,710,665,527,622,1
199,559,711,665,527,622,1
198,557,711,664,529,622,1
199,558,711,664,529,622,1
199,558,712,665,530,623,1
199,558,711,665,530,623,1
199,559,711,665,531,623,1
200,559,712,665,531,624,1
200,559,712,665,532,623,1
200,559,713,665,533,624,1
200,559,712,665,534,624,1
201,559,713,665,534,625,1
201,560,713,665,535,626,1
201,560,713,665,536,626,1
202,559,713,665,537,626,1
203,560,713,665,537,626,1
202,559,713,665,538,626,1
202,560,713,665,539,627,1
203,560,714,666,540,626,1
203,560,714,666,540,626,1
203,560,714,666,540,626,1
203,561,714,666,541,626,1
203,560,714,666,541,625,1
203,561,714,666,542,625,1
203,561,714,666,543,625,1
203,561,715,666,544,624,1
204,561,715,666,545,624,1
204,562,714,666,545,624,1
204,561,715,666,545,624,1
205,561,715,666,546,624,1
204,561,715,667,547,622,1
204,562,715,666,547,622,1
204,562,715,666,547,622,1
204,561,715,666,548,622,1
204,562,716,666,549,622,1
205,562,715,667,550,621,1
206,562,716,667,551,622,1
206,562,716,667,551,622,1
206,562,716,667,552,622,1
206,562,716,667,553,622,1
206,563,716,667,553,622,1
207,562,716,667,554,622,1
207,562,717,667,555,623,1
207,563,716,667,556,623,1
208,563,717,667,557,623,1
209,563,718,667,556,624,1
209,563,718,667,556,624,1
209,564,717,667,558,624,1
210,564,717,668,558,625,1
210,563,717,668,559,625,1
211,563,717,667,560,625,1
211,563,717,668,560,626,1
212,564,718,668,561,626,1
212,564,718,668,562,626,1
213,564,717,668,563,627,1
213,564,718,668,563,627,1
213,564,718,668,564,628,1
214,564,718,669,564,628,1
214,564,718,669,565,628,1
215,565,718,669,566,628,1
215,564,719,668,566,629,1
216,565,719,669,567,629,1
216,565,719,669,568,629,1
218,565,720,669,569,629,1
218,565,719,669,569,630,1
217,565,719,669,570,630,1
217,565,719,669,571,630,1
218,566,719,669,571,630,1
218,567,719,669,572,631,1
219,566,720,669,573,631,1
219,566,720,669,574,632,1
219,566,720,670,574,632,1
221,566,721,670,574,633,1
220,566,720,670,575,632,1
221,566,720,670,576,633,1
222,566,720,671,577,634,1
222,566,721,670,577,634,1
222,567,721,671,578,634,1
221,567,721,670,578,635,1
222,567,721,671,579,635,1
222,567,721,671,580,635,1
223,567,721,671,580,636,1
223,568,721,671,582,636,1
224,567,721,671,582,637,1
224,568,721,672,583,636,1
225,568,721,671,583,637,1
225,567,722,671,584,638,1
225,568,721,671,585,638,1
226,568,722,671,586,638,1
226,568,722,671,587,639,1
228,569,722,672,588,639,1
227,568,722,672,588,639,1
227,568,723,672,589,640,1
228,568,722,672,591,640,1
228,568,722,672,591,640,1
228,569,723,672,592,641,1
229,569,722,673,593,640,1
229,569,723,672,594,641,1
230,569,723,673,594,641,1
231,569,723,673,595,642,1
231,569,723,672,596,642,1
232,569,723,673,596,642,1
232,570,723,673,597,643,1
232,570,723,673,597,643,1
233,570,723,673,599,643,1
234,570,723,673,599,643,1
234,569,724,673,600,644,1
235,570,724,674,600,644,1
235,570,724,674,600,644,1
236,570,725,674,601,645,1
238,570,723,673,601,645,1
236,571,724,674,602,645,1
237,571,724,674,603,645,1
238,571,724,676,602,646,1
238,571,724,674,603,644,1
239,570,725,674,602,644,1
239,571,725,675,602,643,1
239,571,724,675,601,643,1
240,571,725,675,600,643,1
240,571,725,675,599,643,1
241,571,725,675,597,643,1
241,572,724,676,597,643,1
242,572,725,676,596,643,1
243,572,725,675,595,643,1
244,572,726,676,595,643,1
244,573,725,676,595,643,1
244,572,726,676,593,644,1
244,572,726,676,593,643,1
245,572,726,677,594,642,1
246,572,727,677,591,642,1
246,572,726,676,590,642,1
245,572,725,676,591,641,1
245,572,725,677,590,641,1
245,573,726,676,590,641,1
245,574,726,678,589,641,1
245,573,726,677,589,640,1
246,573,726,677,589,640,1
246,573,726,677,589,640,1
246,573,726,677,590,640,1
246,573,726,677,590,640,1
246,573,726,677,590,639,1
246,573,727,677,589,639,1
246,573,726,678,590,640,1
247,573,726,678,591,639,1
247,574,726,678,591,640,1
247,574,726,678,591,640,1
247,573,727,678,592,640,1
247,574,727,678,592,640,1
247,574,726,678,593,640,1
248,574,727,678,594,641,1
249,574,727,679,593,641,1
248,575,726,678,594,641,1
247,574,726,679,595,641,1
249,575,727,679,596,642,1
248,575,727,679,597,641,1
249,575,727,679,597,642,1
248,575,727,679,598,642,1
249,574,727,679,598,642,1
249,575,727,679,599,642,1
248,575,727,679,601,642,1
249,575,728,679,602,641,1
249,575,727,680,601,642,1
250,575,728,679,602,642,1
